,HomeTeam,AwayTeam,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,HomeForm,AwayForm,HomeOdds,Unnamed: 11,DrawOdds,Unnamed: 13,AwayOdds
0,Mali,Zambia,45884.0,45933,13/2,1.533333333,,,1.8,0.7,1.5, Mali Win ,3.85, Draw ,7.7
1,South Africa,Angola,,19/5,45756,,,,2.0,1.2,2.66, South Africa Win ,2.76, Draw ,3.2
2,Egypt,Zimbabwe,45784.0,45717,45748,,,,1.8,0.8,1.26, Egypt Win ,4.5, Draw ,13.0
3,Tractor Sazi,Al Duhail,,13/5,16/5,,,,1.9,1.1,2.05, Tractor Sazi Win ,3.42, Draw ,3.3
4,Al Sharjah,Al Hilal,,45996,23/10,,,,0.7,3.0,6.2, Al Sharjah Win ,4.6, Draw ,1.43
5,Al Shorta,Al Ahli,45813.0,27/11,45689,,,,1.2,2.3,5.1, Al Shorta Win ,4.05, Draw ,1.58
6,Al Gharafa,Al Wahda,,14/5,45874,,,,1.6,2.0,3.6, Al Gharafa Win ,3.9, Draw ,1.91
7,Fulham,Nottingham Forest,45781.0,13/5,45689,,,,1.78,0.89,2.26, Fulham Win ,3.35, Draw ,3.0
8,Stockport County U21,Cardiff City U21,45693.0,19/5,13/2,,,,0.9,1.4,4.8, Stockport County U21 Win ,4.25, Draw ,1.44
9,AFC Bournemouth U21,Birmingham City U21,,45809,45730,,,,1.7,0.8,1.66, AFC Bournemouth U21 Win ,4.6, Draw ,3.95
10,Bristol City U21,Sheffield United U21,45753.0,27/10,45778,,,,1.3,2.4,3.55, Bristol City U21 Win ,4.2, Draw ,1.8
11,Ipswich Town U21,Charlton Athletic U21,,27/11,29/10,,,,2.2,1.2,1.67, Ipswich Town U21 Win ,3.9, Draw ,3.6
12,West Bromwich Albion U21,Luton Town U21,45781.0,14/5,19/10,,,,1.6,0.7,1.45, West Bromwich Albion U21 Win ,4.6, Draw ,5.11
13,Wolves U21,Nottingham Forest U21,45721.0,45965,15/4,,,,1.6,2.2,2.5, Wolves U21 Win ,3.9, Draw ,2.3
14,Colchester United U21,Sunderland U21,45682.0,45992,40/1,,,,1.0,1.4,3.46, Colchester United U21 Win ,3.9, Draw ,1.77
15,Napoli,Bologna,,,,,,,1.9,1.7,2.12, Napoli Win ,3.13, Draw ,3.7
16,Union Brescia,Inter II,,,,,,,1.89,1.42,1.65, Union Brescia Win ,3.0, Draw ,4.8
17,Montrose,Spartans,,,,,,,1.5,1.6,1.8, Montrose Win ,3.8, Draw ,4.33
18,Athletic Club Bilbao,RCD Espanyol,,,,,,,1.6,1.75,1.67, Athletic Club Bilbao Win ,3.2, Draw ,4.75
19,Alverca,Porto,,,,,,,1.25,3.0,9.5, Alverca Win ,5.0, Draw ,1.3
20,Benfica,Famalicão,,,,,,,2.0,1.71,1.29, Benfica Win ,5.2, Draw ,7.0
21,Benfica II,Sporting CP II,,,,,,,1.38,1.75,2.32, Benfica II Win ,3.25, Draw ,2.82
22,Lusitania Lourosa,UD Oliveirense,,,,,,,1.0,0.86,1.79, Lusitania Lourosa Win ,3.2, Draw ,3.59
23,Ajax II,RKC Waalwijk,,,,,,,0.91,1.36,4.95, Ajax II Win ,4.15, Draw ,1.62
24,Utrecht II,Roda JC,,,,,,,1.36,1.91,2.42, Utrecht II Win ,3.8, Draw ,2.4
25,Perak,PKNS,,,,,,,2.2,0.8,2.86, Perak Win ,3.15, Draw ,2.3
26,İstanbul Başakşehir,Gaziantep FK,,,,,,,1.25,1.5,1.73, İstanbul Başakşehir Win ,3.95, Draw ,4.52
27,Gençlerbirliği,Trabzonspor,,,,,,,1.63,2.0,3.25, Gençlerbirliği Win ,3.3, Draw ,2.15
28,BB Bodrumspor,Amed,,,,,,,2.56,1.44,1.94, BB Bodrumspor Win ,3.5, Draw ,3.36
29,Menemen Belediyespor,Hekimoğlu Trabzon,,,,,,,1.67,1.56,1.82, Menemen Belediyespor Win ,3.45, Draw ,3.42
30,Adanaspor,Muş Menderesspor,,,,,,,0.5,1.22,20.0, Adanaspor Win ,11.0, Draw ,1.03
31,Kırklarelispor,Yeni Mersin İY,,,,,,,1.63,0.38,1.55, Kırklarelispor Win ,3.6, Draw ,5.0
32,Elazığspor,Erzin Belediyespor,,,,,,,0.89,1.78,1.68, Elazığspor Win ,3.74, Draw ,4.4
33,Napredak,Radnički Kragujevac,,,,,,,0.8,1.1,3.4, Napredak Win ,3.6, Draw ,2.1
34,PSBS Biak Numfor,Bali United,,,,,,,1.0,1.75,5.3, PSBS Biak Numfor Win ,4.35, Draw ,1.41
35,Semen Padang,Persija,,,,,,,0.88,1.88,5.75, Semen Padang Win ,4.2, Draw ,1.46
36,Panserraikos,Levadiakos,,,,,,,0.5,1.71,5.74, Panserraikos Win ,3.84, Draw ,1.58
37,Asteras Tripolis II,Anagennisi Karditsas,,,,,,,1.8,2.4,3.98, Asteras Tripolis II Win ,2.7, Draw ,2.1
38,Antigua GFC,Municipal,,,,,,,2.0,2.07,2.39, Antigua GFC Win ,2.69, Draw ,3.2
39,Nzoia Sugar,Migori Youth FC,,,,,,,1.86,1.5,2.19, Nzoia Sugar Win ,2.6, Draw ,3.62
40,Al Masry,Dekernes,,,,,,,2.2,1.7,1.18, Al Masry Win ,5.4, Draw ,11.0
41,Pyramids FC,Masar,,,,,,,1.6,2.0,1.47, Pyramids FC Win ,3.9, Draw ,6.6
42,Maccabi Haifa,Beitar Jerusalem,,,,,,,1.43,2.57,2.27, Maccabi Haifa Win ,3.5, Draw ,2.75
43,USM Alger,MB Rouisset,,,,,,,1.67,0.83,1.49, USM Alger Win ,3.7, Draw ,6.25
44,Sumqayıt,Sabah,,,,,,,1.44,2.5,3.51, Sumqayıt Win ,3.38, Draw ,1.8
45,Medeama,Basake Holy Stars,,,,,,,2.25,0.38,1.3, Medeama Win ,4.5, Draw ,12.0
46,Bolívar,Nacional Potosí,,,,,,,2.5,2.1,1.2, Bolívar Win ,5.5, Draw ,11.7
47,Lakshadweep,Goa FT,,,,,,,0.9,1.0,6.5, Lakshadweep Win ,5.25, Draw ,1.3
48,Services,Karnataka,,,,,,,1.9,1.1,1.5, Services Win ,3.9, Draw ,6.08
49,AEL,AEK Larnaca,,,,,,,1.75,2.13,4.19, AEL Win ,3.3, Draw ,1.83
50,Omonia Nicosia,Ethnikos Achna,,,,,,,2.5,0.13,1.24, Omonia Nicosia Win ,5.5, Draw ,8.75
51,CS U Craiova,Csikszereda,,,,,,,2.18,0.4,1.19, CS U Craiova Win ,6.65, Draw ,11.8
52,Britannia,Dakota,,,,,,,1.0,3.0,3.8, Britannia Win ,4.5, Draw ,1.57
53,Al Ahli,Al Ramtha,,,,,,,1.3,1.4,3.58, Al Ahli Win ,3.01, Draw ,1.9
54,Al Faisaly,Shabab Al Ordon,,,,,,,2.3,1.6,1.15, Al Faisaly Win ,6.2, Draw ,12.5
55,Katsina United,Rivers United,,,,,,,1.89,1.38,7.42, Katsina United Win ,3.7, Draw ,1.42
56,Al Seeb,Bahla,,,,,,,2.5,2.25,1.52, Al Seeb Win ,3.7, Draw ,7.35
57,Moi Kompong Dewa,Kirivong Sok Sen Chey,,,,,,,2.0,0.7,1.93, Moi Kompong Dewa Win ,3.42, Draw ,3.4
58,Al Jazira,Burgan,,,,,,,1.4,1.6,2.1, Al Jazira Win ,3.15, Draw ,3.1
59,Yarmouk,Sporty,,,,,,,2.0,0.0,1.2, Yarmouk Win ,5.0, Draw ,11.5
60,Nouadhibou,AC Douane,,,,,,,2.33,2.0,1.68, Nouadhibou Win ,3.0, Draw ,4.8
61,SLIFA Mount Aureol,Diamond Stars,,,,,,,1.5,1.0,2.2, SLIFA Mount Aureol Win ,3.1, Draw ,2.85
