HomeTeam,AwayTeam,HomeForm_raw,AwayForm_raw,HomeOdds_raw,DrawOdds_raw,AwayOdds_raw,HomeForm,AwayForm,HomeOdds,DrawOdds,AwayOdds,FormDiff,FormGroup,Prob_Home,Prob_Draw,Prob_Away,EV_Home,EV_Draw,EV_Away,BestSide,BestEV,MarketImpHome,MarketImpAway,MarketImpDraw,OddsHome,OddsDraw,OddsAway,Decision,StakeFlat,StakeKellyUnit,ProbMargin
Mali,Zambia,1.8,0.7,1.5,3.85,7.7,1.8,0.7,1.5,3.85,7.7,1.1,Home Strong,0.7370300916894793,0.2565560867944462,0.006413821516074511,0.1055451375342189,-0.012259065841382144,-0.9506135743262263,Home,0.1055451375342189,0.6311475409836065,0.12295081967213113,0.24590163934426226,1.5,3.85,7.7,BET,1.0,0.05277256876710948,0.10588255070587282
South Africa,Angola,2.0,1.2,2.66,2.76,3.2,2.0,1.2,2.66,2.76,3.2,0.8,Balanced,0.8482778878141142,0.10777428597054092,0.04394782621534475,1.2564191815855437,-0.7025429707213071,-0.8593669561108968,Home,1.2564191815855437,0.35777943416404706,0.29740415464886416,0.3448164111870889,2.66,2.76,3.2,NO_BET,0.0,0.0,0.4904984536500671
Egypt,Zimbabwe,1.8,0.8,1.26,4.5,13.0,1.8,0.8,1.26,4.5,13.0,1.0,Balanced,0.7051162604118238,0.28753081559738536,0.007352923990790737,-0.11155351188110196,0.29388867018823417,-0.9044119881197205,Draw,0.29388867018823417,0.7262569832402235,0.07039106145251398,0.20335195530726258,1.26,4.5,13.0,NO_BET,0.0,0.0,0.08417886029012278
Tractor Sazi,Al Duhail,1.9,1.1,2.05,3.42,3.3,1.9,1.1,2.05,3.42,3.3,0.7999999999999998,Balanced,0.8177021196870118,0.14088754651491947,0.04141033379806885,0.676289345358374,-0.5181645909189754,-0.8633458984663728,Home,0.676289345358374,0.4503231984677999,0.279746229351209,0.2699305721809911,2.05,3.42,3.3,NO_BET,0.0,0.0,0.3673789212192119
Al Sharjah,Al Hilal,0.7,3.0,6.2,4.6,1.43,0.7,3.0,6.2,4.6,1.43,-2.3,Away Strong,0.0,0.23664677618953678,0.7633532238104632,-1.0,0.08857517047186914,0.09159511004896226,Away,0.09159511004896226,0.14962241834228002,0.6487125830224728,0.201664998635247,6.2,4.6,1.43,NO_BET,0.0,0.0,0.11464064078799041
Al Shorta,Al Ahli,1.2,2.3,5.1,4.05,1.58,1.2,2.3,5.1,4.05,1.58,-1.0999999999999999,Away Strong,0.03195606018600396,0.11935468360015553,0.8486892562138404,-0.8370240930513798,-0.5166135314193702,0.3409290248178678,Away,0.3409290248178678,0.18224538619275463,0.5882604237867395,0.22949419002050583,5.1,4.05,1.58,NO_BET,0.0,0.0,0.2604288324271009
Al Gharafa,Al Wahda,1.6,2.0,3.6,3.9,1.91,1.6,2.0,3.6,3.9,1.91,-0.3999999999999999,Balanced,0.10481261509279942,0.1274235411042089,0.7677638438029917,-0.6226745856659222,-0.5030481896935853,0.46642894166371396,Away,0.46642894166371396,0.2626123744050766,0.4949762030671601,0.24241142252776307,3.6,3.9,1.91,NO_BET,0.0,0.0,0.27278764073583156
Fulham,Nottingham Forest,1.78,0.89,2.26,3.35,3.0,1.78,0.89,2.26,3.35,3.0,0.89,Balanced,0.8681293532871759,0.09199157439744982,0.039879072315374166,0.9619723384290173,-0.6918282257685431,-0.8803627830538775,Home,0.9619723384290173,0.41186836605057175,0.3102741690914307,0.2778574648579976,2.26,3.35,3.0,NO_BET,0.0,0.0,0.45626098723660413
Stockport County U21,Cardiff City U21,0.9,1.4,4.8,4.25,1.44,0.9,1.4,4.8,4.25,1.44,-0.4999999999999999,Away Strong,0.0848334557127955,0.09023782595273191,0.8249287183344727,-0.5927994125785816,-0.6164892397008894,0.18789735440164068,Away,0.18789735440164068,0.1830581478822685,0.6101938262742282,0.20674802584350324,4.8,4.25,1.44,NO_BET,0.0,0.0,0.21473489206024443
AFC Bournemouth U21,Birmingham City U21,1.7,0.8,1.66,4.6,3.95,1.7,0.8,1.66,4.6,3.95,0.8999999999999999,Balanced,0.8171945278469772,0.1470702925426492,0.035735179610373494,0.3565429162259821,-0.3234766543038138,-0.8588460405390247,Home,0.3565429162259821,0.5614436238914811,0.23594845966072361,0.20260791644779533,1.66,4.6,3.95,NO_BET,0.0,0.0,0.25575090395549616
Bristol City U21,Sheffield United U21,1.3,2.4,3.55,4.2,1.8,1.3,2.4,3.55,4.2,1.8,-1.0999999999999999,Away Strong,0.03506150717551494,0.2468256525804322,0.7181128402440529,-0.875531649526922,0.03666774083781532,0.29260311243929515,Away,0.29260311243929515,0.26195426195426197,0.5166320166320167,0.22141372141372143,3.55,4.2,1.8,NO_BET,0.0,0.0,0.20148082361203612
Ipswich Town U21,Charlton Athletic U21,2.2,1.2,1.67,3.9,3.6,2.2,1.2,1.67,3.9,3.6,1.0000000000000002,Balanced,0.8307446049668323,0.13951680801902006,0.029738587014147555,0.38734349029461,-0.4558844487258218,-0.8929410867490688,Home,0.38734349029461,0.528514963297572,0.24517221908526254,0.22631281761716543,1.67,3.9,3.6,NO_BET,0.0,0.0,0.30222964166926036
West Bromwich Albion U21,Luton Town U21,1.6,0.7,1.45,4.6,5.11,1.6,0.7,1.45,4.6,5.11,0.9000000000000001,Balanced,0.7104450682656116,0.26462345558802125,0.024931476146367083,0.030145348985136877,0.21726789570489768,-0.8726001568920642,Draw,0.21726789570489768,0.6254007529499408,0.17746205318540392,0.19713719386465525,1.45,4.6,5.11,NO_BET,0.0,0.0,0.067486261723366
Wolves U21,Nottingham Forest U21,1.6,2.2,2.5,3.9,2.3,1.6,2.2,2.5,3.9,2.3,-0.6000000000000001,Away Strong,0.08346010251788728,0.32252841613809297,0.5940114813440198,-0.7913497437052818,0.2578608229385626,0.36622640709124554,Away,0.36622640709124554,0.36657131181038005,0.398447078054761,0.23498161013485902,2.5,3.9,2.3,BET,1.0,0.0704281552098549,0.19556440328925884
Colchester United U21,Sunderland U21,1.0,1.4,3.46,3.9,1.77,1.0,1.4,3.46,3.9,1.77,-0.3999999999999999,Balanced,0.10517442401562435,0.11841856253895951,0.7764070134454161,-0.6360964929059397,-0.5381676060980579,0.37424041379838635,Away,0.37424041379838635,0.26028234016560337,0.5088005067643998,0.23091715306999686,3.46,3.9,1.77,NO_BET,0.0,0.0,0.26760650668101627
Napoli,Bologna,1.9,1.7,2.12,3.13,3.7,1.9,1.7,2.12,3.13,3.7,0.19999999999999996,Balanced,0.4092575612995413,0.4244055591286949,0.16633687957176396,-0.13237397004497242,0.3283894000728149,-0.3845535455844733,Draw,0.3283894000728149,0.44438731264821224,0.2546219196795162,0.30099076767227156,2.12,3.13,3.7,NO_BET,0.0,0.0,0.12341479145642331
Union Brescia,Inter II,1.89,1.42,1.65,3.0,4.8,1.89,1.42,1.65,3.0,4.8,0.47,Balanced,0.6246257821262002,0.3163942567598297,0.05897996111396995,0.030632540508230388,-0.05081722972051095,-0.7168961866529442,Home,0.030632540508230388,0.5280528052805281,0.18151815181518152,0.2904290429042904,1.65,3.0,4.8,NO_BET,0.0,0.0,0.09657297684567212
Montrose,Spartans,1.5,1.6,1.8,3.8,4.33,1.5,1.6,1.8,3.8,4.33,-0.10000000000000009,Balanced,0.1740807862945815,0.6613151582278862,0.16460405547753232,-0.6866545846697533,1.5129976012659676,-0.287264439782285,Draw,1.5129976012659676,0.5292717447246527,0.22002058672156458,0.2507076685537828,1.8,3.8,4.33,NO_BET,0.0,0.0,0.41060748967410343
Athletic Club Bilbao,RCD Espanyol,1.6,1.75,1.67,3.2,4.75,1.6,1.75,1.67,3.2,4.75,-0.1499999999999999,Balanced,0.17364123383454294,0.6701713263116267,0.15618743985383052,-0.7100191394963133,1.1445482441972055,-0.2581096606943051,Draw,1.1445482441972055,0.5337734623285868,0.18766351201868206,0.27856302565273117,1.67,3.2,4.75,NO_BET,0.0,0.0,0.3916083006588955
Alverca,Porto,1.25,3.0,9.5,5.0,1.3,1.25,3.0,9.5,5.0,1.3,-1.75,Away Strong,0.0,0.09959245670099026,0.9004075432990097,-1.0,-0.5020377164950487,0.17052980628871262,Away,0.17052980628871262,0.09796533534287867,0.7159005275056518,0.18613413715146948,9.5,5.0,1.3,NO_BET,0.0,0.0,0.18450701579335793
Benfica,Famalicão,2.0,1.71,1.29,5.2,7.0,2.0,1.71,1.29,5.2,7.0,0.29000000000000004,Balanced,0.4001960648990385,0.5335280865128259,0.06627584858813565,-0.4837470762802404,1.7743460498666948,-0.5360690598830504,Draw,1.7743460498666948,0.6981472246729832,0.12865855997544975,0.17319421535156698,1.29,5.2,7.0,NO_BET,0.0,0.0,0.3603338711612589
Benfica II,Sporting CP II,1.38,1.75,2.32,3.25,2.82,1.38,1.75,2.32,3.25,2.82,-0.3700000000000001,Balanced,0.12507669089156484,0.43683662798063827,0.4380866811277969,-0.7098220771315695,0.41971904093707435,0.23540444078038725,Draw,0.41971904093707435,0.3942376351764068,0.324337345251512,0.28142501957208116,2.32,3.25,2.82,NO_BET,0.0,0.0,0.1554116084085571
Lusitania Lourosa,UD Oliveirense,1.0,0.86,1.79,3.2,3.59,1.0,0.86,1.79,3.2,3.59,0.14,Balanced,0.3836745113217841,0.44998860910645194,0.16633687957176396,-0.3132226247340064,0.4399635491406464,-0.40285060233736736,Draw,0.4399635491406464,0.48591284192182593,0.24227966212815277,0.2718074959500214,1.79,3.2,3.59,NO_BET,0.0,0.0,0.17818111315643054
Ajax II,RKC Waalwijk,0.91,1.36,4.95,4.15,1.62,0.91,1.36,4.95,4.15,1.62,-0.45000000000000007,Balanced,0.1036331081250113,0.08984009321532102,0.8065267986596677,-0.4870161147811941,-0.6271636131564178,0.30657341382866177,Away,0.30657341382866177,0.19053692131105726,0.5821961484504528,0.22726693023848998,4.95,4.15,1.62,NO_BET,0.0,0.0,0.22433065020921494
